Year,Team,Result,Coach,Actual Wins,Pythagorean Wins,Coach Face Score
1990,DET,Champion,Chuck Daly,59-23,57,2
1991,CHI,Champion,Phil Jackson,61-21,61,0
1992,CHI,Champion,Phil Jackson,67-15,64,3
1993,CHI,Champion,Phil Jackson,57-25,58,-1
1994,HOU,Champion,Rudy Tomjanovich,58-24,54,4
1995,HOU,Champion,Rudy Tomjanovich,47-35,47,0
1996,CHI,Champion,Phil Jackson,72-10,71,1
1997,CHI,Champion,Phil Jackson,69-13,67,2
1998,CHI,Champion,Phil Jackson,62-20,56,6
1999,SAS,Champion,Gregg Popovich,37-13,38,-1
2000,LAL,Champion,Phil Jackson,67-15,61,6
2001,LAL,Champion,Phil Jackson,56-26,53,3
2002,LAL,Champion,Phil Jackson,58-24,54,4
2003,SAS,Champion,Gregg Popovich,60-22,57,3
2004,DET,Champion,Larry Brown,54-28,52,2
2005,SAS,Champion,Gregg Popovich,59-23,60,-1
2006,MIA,Champion,Stan Van Gundy,52-30,51,1
2007,SAS,Champion,Gregg Popovich,58-24,60,-2
2008,BOS,Champion,Doc Rivers,66-16,64,2
2009,LAL,Champion,Phil Jackson,65-17,60,5
2010,LAL,Champion,Phil Jackson,57-25,55,2
2011,DAL,Champion,Rick Carlisle,57-25,53,4
2012,MIA,Champion,Erik Spoelstra,46-20,44,2
2013,MIA,Champion,Erik Spoelstra,66-16,62,4
2014,SAS,Champion,Gregg Popovich,62-20,59,3
2015,GSW,Champion,Steve Kerr,67-15,65,2
2016,CLE,Champion,Tyronn Lue,57-25,55,2
2017,GSW,Champion,Steve Kerr,67-15,62,5
2018,GSW,Champion,Steve Kerr,58-24,57,1
2019,TOR,Champion,Nick Nurse,58-24,57,1
2020,LAL,Champion,Frank Vogel,52-19,49,3
2021,MIL,Champion,Mike Budenholzer,46-26,48,-2
2022,GSW,Champion,Steve Kerr,53-29,53,0
2023,DEN,Champion,Michael Malone,53-29,52,1
2024,BOS,Champion,Joe Mazzulla,64-18,63,1
2025,OKC,Champion,Mark Daigneault,68-14,56,12
2026,NYK,Champion,Mike Brown,53-29,61,-8
,,,,,,
,,,,,,
Year,Team,Result,Coach,Actual Wins,Pythagorean Wins,Coach Face Score
1990,POR,Runner-Up,Rick Adelman,59-23,57,2
1991,LAL,Runner-Up,Mike Dunleavy,58-24,54,4
1992,POR,Runner-Up,Rick Adelman,57-25,56,1
1993,PHX,Runner-Up,Paul Westphal,62-20,61,1
1994,NYK,Runner-Up,Pat Riley,57-25,55,2
1995,ORL,Runner-Up,Brian Hill,57-25,55,2
1996,SEA,Runner-Up,George Karl,64-18,63,1
1997,UTH,Runner-Up,Jerry Sloan,64-18,65,-1
1998,UTH,Runner-Up,Jerry Sloan,62-20,61,1
1999,NYK,Runner-Up,Jeff Van Gundy,27-23,26,1
2000,IND,Runner-Up,Larry Bird,56-26,54,2
2001,PHI,Runner-Up,Larry Brown,56-26,52,4
2002,NJN,Runner-Up,Byron Scott,52-30,52,0
2003,NJN,Runner-Up,Byron Scott,49-33,51,2
2004,LAL,Runner-Up,Phil Jackson,56-26,54,4
2005,DET,Runner-Up,Larry Brown,54-28,54,0
2006,DAL,Runner-Up,Avery Johnson,60-22,59,1
2007,CLE,Runner-Up,Mike Brown,50-32,49,1
2008,LAL,Runner-Up,Phil Jackson,57-25,56,1
2009,ORL,Runner-Up,Stan Van Gundy,59-23,58,1
2010,BOS,Runner-Up,Doc Rivers,50-32,49,1
2011,MIA,Runner-Up,Erik Spoelstra,58-24,61,-3
2012,OKC,Runner-Up,Scott Brooks,47-19,48,-1
2013,SAS,Runner-Up,Gregg Popovich,58-24,59,-1
2014,MIA,Runner-Up,Erik Spoelstra,54-28,51,3
2015,CLE,Runner-Up,David Blatt,53-29,52,1
2016,GSW,Runner-Up,Steve Kerr,73-9,69,4
2017,CLE,Runner-Up,Tyronn Lue,51-31,48,3
2018,CLE,Runner-Up,Tyronn Lue,50-32,45,5
2019,GSW,Runner-Up,Steve Kerr,57-25,54,3
2020,MIA,Runner-Up,Erik Spoelstra,44-29,43,1
2021,PHX,Runner-Up,Monty Williams,51-21,52,-1
2022,BOS,Runner-Up,Ime Udoka,51-31,54,-3
2023,MIA,Runner-Up,Erik Spoelstra,44-38,43,1
2024,DAL,Runner-Up,Jason Kidd,50-32,48,2
2025,IND,Runner-Up,Rick Carlisle,50-32,46,4
2026,SAS,Runner-Up,Mitch Johnson,62-20,51,11
